question,answer,context
"The CBS host that Suzette Quintanilla told about Selena's album, ""Unos"", has been the host of what CBS reality-television program?","""Big Brother""","Ones (album)
Ones (Spanish: ""Unos"" ) is a compilation album by American Tejano singer Selena, released in the United States on 1 October 2002 by EMI Latin.  It was released on 11 November 2002 in Spanish-speaking countries, while the limited edition included a bonus DVD of her music videos.  ""Ones"" was released building on the popularity of the 1997 biographical film ""Selena"".  The singer's father Abraham Quintanilla Jr. and sister Suzette Quintanilla told CBS TV host Julie Chen that the album was aimed at Selena's new generation of fans.  ""Ones"" was released as part of the ""Selena: 20 Years of Music"" collection—a nine-disc series of her studio, live, soundtrack and compilation albums.  The recording features six number one singles namely, ""Amor Prohibido"" , ""Bidi Bidi Bom Bom"" , ""No Me Queda Más"" , ""Fotos y Recuerdos"" , and her duets with Álvaro Torres on ""Buenos Amigos"" and the Barrio Boyzz on ""Donde Quiera Que Estés"" .

Julie Chen
Julie Suzanne Chen (born January 6, 1970) is an American television personality, news anchor, and producer for CBS.  She has been the host of the U.S. version of the CBS reality-television program ""Big Brother"" since its debut in July 2000 and is the longest-serving host of any country's version of the show.  She is also a co-host and the moderator of the CBS daytime show ""The Talk"".  Previously, she was a co-anchor of ""The Early Show"" on CBS.

"
Which awards did the writer of Baby Blue win in 1973? ,two Ivor Novello Awards,"Pete Ham
Peter William Ham (27 April 1947 – 24 April 1975) was a Welsh singer, songwriter and guitarist, best known as the lead vocalist/composer of the 1970s rock band Badfinger whose hit songs include ""No Matter What"", ""Day After Day"" and ""Baby Blue.""  He also co-wrote the ballad ""Without You"", a worldwide Number One hit for Harry Nilsson and it has become a standard song as covered by hundreds of artists consistently throughout the years since.  Ham was granted two Ivor Novello Awards related to the song in 1973.

Baby Blue (Badfinger song)
""Baby Blue"" is a song recorded by the band Badfinger for inclusion on their 1971 album, ""Straight Up.""  The song was written by Pete Ham, produced by Todd Rundgren, and released on Apple Records.  It regained fame four decades later upon being featured in the series finale of AMC's ""Breaking Bad"", which uses the track's title lyric as a reference to the special and iconic blue methamphetamine produced by main character Walter White.

"
"WHat is a global gold mining company that was formed in 2004 by the merger with Ashanti Goldfields Corporation, that jointly owns the project located 330 km northeast of Kalgoorlie, Western Australia?",AngloGold Ashanti Limited,"Tropicana Gold Mine
The Tropicana Gold Mine project is located 330 km northeast of Kalgoorlie, Western Australia.  Since 2002, it has been jointly owned by AngloGold Ashanti (70% - manager) and Independence Group (30%).

AngloGold Ashanti
AngloGold Ashanti Limited is a global gold mining company.  It was formed in 2004 by the merger of AngloGold and the Ashanti Goldfields Corporation.

"
"Chadwick Lee ""Chad"" Bradford a former MLB pitcher, was in which Michael Lewis book?",Moneyball,"Chad Bradford
Chadwick Lee ""Chad"" Bradford (born September 14, 1974) is a former Major League Baseball (MLB) relief pitcher.  He was well known for his extreme submarine-style pitching, and his success in MLB despite his unconventional delivery and the slow speed at which he threw the ball (his fastball was only in the mid 80-mph range).  This led to him figuring prominently in the Michael Lewis book ""Moneyball"", which in 2011 was made into the film of the same title.  Bradford is played by actor Casey Bond in the film.

Moneyball
Moneyball: The Art of Winning an Unfair Game is a book by Michael Lewis, published in 2003, about the Oakland Athletics baseball team and its general manager Billy Beane.  Its focus is the team's analytical, evidence-based, sabermetric approach to assembling a competitive baseball team, despite Oakland's disadvantaged revenue situation.  A film based on the book starring Brad Pitt and Jonah Hill was released in 2011.

"
Elizabeth Louise Botting CBE worked for which company that operated the UK National Lottery?,Camelot Group,"Louise Botting
Elizabeth Louise Botting CBE (born 19 September 1939) is a British company director and former broadcaster.  She was presenter of BBC Radio 4's ""Money Box"" programme between 1977 and 1992.  After her broadcasting career, she became one of the first female directors of a FTSE-100 company, through her appointment to the board of CGNU (formerly General Accident, now Aviva).  She has also held non-executive directorships of other companies such as Trinity Mirror, London Weekend Television and Camelot Group.

Camelot Group
Camelot Group are the operators of the UK National Lottery.  Camelot Group was awarded the National Lottery franchise in May 1994 (though the lottery did not start until November 1994) and was re-awarded the franchise in 2001 and again in 2007.  The current franchise period started in 2009 and runs until 2019, with a possible extension of up to five years.  The governmental body the National Lottery Commission is responsible for deciding who is awarded the franchise.  The way the franchise was awarded to Camelot in 2001 caused some controversy because state owned Royal Mail held a 20% stake in the Camelot Group.

"
Riann Stelle appeared in what Royal Shakespeare Company production that portrays the events surrounding a former queen of the Amazons?,A Midsummer Night's Dream,"Riann Steele
Riann Steele is an English actress.  After studying at Arts Educational Schools, London, she appeared in various Royal Shakespeare Company productions, including ""A Midsummer Night's Dream"", ""Love's Labours Lost"" and ""Hamlet"" (including its subsequent BBC television film adaptation in 2009) alongside David Tennant.  From 2009 to 2010, she played Nurse Lauren Minster in ""Holby City"".  Her first feature film role was opposite Aidan Gillen in 2010's ""Treacle Jr."".  In 2012, she starred in the film ""Sket"" as Shaks, the girlfriend of a violent gang leader portrayed by Ashley Walters.  and in Doctor Who (series 7) as Queen Nefertiti.  She has also appeared as Cleo, a therapist, in the Channel 4/Netflix comedy series ""Lovesick"".

A Midsummer Night's Dream
A Midsummer Night's Dream is a comedy written by William Shakespeare in 1595/96.  It portrays the events surrounding the marriage of Theseus, the Duke of Athens, to Hippolyta, the former queen of the Amazons.  These include the adventures of four young Athenian lovers and a group of six amateur actors (the mechanicals) who are controlled and manipulated by the fairies who inhabit the forest in which most of the play is set.  The play is one of Shakespeare's most popular works for the stage and is widely performed across the world.

"
Are Southwest Oregon Regional Airport and Minot International Airport both in the US?,yes,"Southwest Oregon Regional Airport
Southwest Oregon Regional Airport (IATA: OTH, ICAO: KOTH, FAA LID: OTH) , formerly North Bend Municipal Airport, is a public airport in North Bend, Coos County, Oregon.  It is operated by the Coos County Airport District.

Minot International Airport
Minot International Airport (IATA: KMOT, ICAO: MOT) is in Ward County, North Dakota, two miles north of the city of Minot, which owns it.  The National Plan of Integrated Airport Systems for 2011–2015 categorized it as a ""primary commercial service"" airport.

"
What division did the USNA's football team play in during 1976?,NCAA Division I,"1976 Navy Midshipmen football team
The 1976 Navy Midshipmen football team represented the United States Naval Academy (USNA) during the 1976 NCAA Division I football season.  Navy competed as an independent with no conference affiliation.  The team was led by fourth-year head coach George Welsh.

United States Naval Academy
The United States Naval Academy (also known as USNA, Annapolis, or simply Navy) is a four-year coeducational federal service academy in Annapolis, Maryland.  Established on 10 October 1845, under Secretary of the Navy George Bancroft, it is the second oldest of the United States' five service academies, and educates officers for commissioning primarily into the United States Navy and United States Marine Corps.  The 338 acre campus is located on the former grounds of Fort Severn at the confluence of the Severn River and Chesapeake Bay in Anne Arundel County, 33 mi east of Washington, D.C. and 26 mi southeast of Baltimore.  The entire campus is a National Historic Landmark and home to many historic sites, buildings, and monuments.  It replaced Philadelphia Naval Asylum, in Philadelphia, that served as the first United States Naval Academy from 1838 to 1845 when the Naval Academy formed in Annapolis.

"
Cohmad Securities was co-founded by a fraudster who is the former non-executive chairman of what stock market?,NASDAQ,"Cohmad Securities
Cohmad Securities was a US company whose main business was to introduce investors to the Bernard Madoff investment company for which it received commission based on the amount invested.  The company, whose name combines “Cohn” and “Madoff,” was founded in 1985 by Bernard Madoff and Maurice Cohn, Madoff’s friend and former neighbor.  Its office was located at the same address as Madoff's firm, and it employed between 10 and 20 employees with annual sales between $1M and $5M.

Bernard Madoff
Bernard Lawrence ""Bernie"" Madoff ( ; born April 29, 1938) is an American fraudster and a former stockbroker, investment advisor, and financier.  He is the former non-executive chairman of the NASDAQ stock market, and the admitted operator of a Ponzi scheme that is considered the largest financial fraud in U.S. history.  Prosecutors estimated the size of the fraud to be $64.8 billion, based on the amounts in the accounts of Madoff's 4,800 clients as of November 30, 2008.

"
"Who is a Grand Slam champion after winning the 2015 French Open men's doubles title with Marcelo Melo, Fabio Fognini or Ivan Dodig ?",Ivan Dodig,"Ivan Dodig
Ivan Dodig (born 2 January 1985) is a Croatian tennis player.  His career-high ATP rankings are world No. 29 in singles and world No. 4 in doubles.  Dodig is a Grand Slam champion after winning the 2015 French Open men's doubles title with Marcelo Melo.

Fabio Fognini
Fabio Fognini (] ; born 24 May 1987) is an Italian professional tennis player who is currently ranked world No. 29 in men's singles by the Association of Tennis Professionals (ATP) and the current Italian No. 1.  His career-high singles ranking is world No. 13, achieved in March 2014, and world No. 7 in doubles, achieved in July 2015.  Fognini's most successful surface is red clay, upon which he won his four ATP singles titles in Stuttgart, Hamburg, Viña del Mar and Umag, reached the quarterfinals of the 2011 French Open and the semifinals of the 2013 Monte-Carlo Masters.  Together with Simone Bolelli, Fognini won the 2015 Australian Open doubles event, becoming the first all Italian men's pair to win a Grand Slam title in the Open era.

"
"Who created a series that included the ""Wizboy"" episode?",Eric Robles,"Wizboy
""Wizboy"" is the first episode of the first season of the animated television series ""Fanboy & Chum Chum"".  It premiered on November 6, 2009 as the series premiere along with ""Trading Day"" on Nickelodeon.  The episode was written by Steve Tompkins and directed by Jim Schumann.

Fanboy &amp; Chum Chum
Fanboy & Chum Chum is an American 3D CGI animated television series created by Eric Robles for Nickelodeon.  It is based on ""Fanboy"", an animated short created by Robles for Nicktoons and Frederator Studios, which was broadcast August 14, 2009 to July 12, 2014 on ""Random!  Cartoons"".  The series was first broadcast October 12, 2009 on Nickelodeon as a preview, then officially premiered November 6, 2009 after ""SpongeBob's Truth or Square"".

"
Bret Stafford played what position on a team that competed in the NCAA Division 1 Football Bowl Subdivision?,quarterback,"Bret Stafford
Bret Alan Stafford (born December 15, 1964) is a former American football player.  He started as quarterback for the Texas Longhorns for almost 2½ seasons, 1985-87 during which time he established 14 UT records, among them most passing yards in a season (2,233) in 1986, and most passing yards over a career (4,735).  However, most of his records have since been surpassed by Peter Gardere, James Brown, Major Applewhite, and Vince Young.

Texas Longhorns football
The Texas Longhorns football program is the intercollegiate team representing the University of Texas at Austin (variously Texas or UT) in the sport of American football.  The Longhorns compete in the NCAA Division I Football Bowl Subdivision (formerly Division I-A) as a member of the Big 12 Conference.  The team is coached by Tom Herman and home games are played at Darrell K Royal – Texas Memorial Stadium in Austin, Texas.

"
